Dur,SrcAddr,DstAddr,Proto,TotBytes,Sport,Dport,Label,Rand
64.691492,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,9.62E-06
35.507096,192.168.137.85,23.20.239.12,TCP,66,50376,80,Botnet,3.74E-05
1.446011,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,3.97E-05
13.74665,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.000137531
59.843635,192.168.137.85,59.152.9.237,TCP,86,36674,443,Botnet,0.000213848
4.042915,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.000219387
121.657428,192.229.237.96,192.168.137.87,TCP,1434,443,44128,Normal,0.000279556
67.742244,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.000285899
60.009222,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.000311131
5.306862,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.000375062
116.870017,192.229.237.96,192.168.137.87,TLSv1.2,1434,443,44118,Normal,0.000443223
49.099842,192.168.137.87,103.102.166.240,TCP,66,48261,443,Normal,0.000479137
3.05339,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.000492995
67.792213,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.00051215
5.827305,192.168.137.233,23.20.239.12,TCP,66,55680,80,Botnet,0.00051409
68.692173,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.000637474
65.439728,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.00064032
6.414826,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.000654801
60.908052,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.00065853
87.780783,192.168.137.233,183.36.108.251,TCP,54,56122,80,Botnet,0.000667329
4.66128,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.000683012
39.278756,192.168.137.85,52.27.59.57,TCP,74,42480,80,Botnet,0.000684483
65.872021,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.000712
59.59905,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.000749305
63.880307,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.000806251
7.785962,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.000887277
6.961699,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.000914051
88.461931,192.168.137.87,172.217.26.173,TCP,94,47516,443,Normal,0.001004575
11.989524,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.001006354
65.418257,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.001024089
209.63319,192.168.137.1,239.255.255.250,SSDP,179,49175,1900,Normal,0.001039335
10.87092,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.001056111
4.140271,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.001083191
11.822779,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.001194857
0.525506,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.001199396
39.274438,192.168.137.1,192.168.137.85,DNS,110,53,58378,Botnet,0.00121139
8.108782,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.001253946
51.97129,37.187.163.89,192.168.137.85,TCP,1434,80,48741,Botnet,0.001275891
8.971503,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.001290126
81.089523,104.18.15.25,192.168.137.87,TCP,54,443,37456,Normal,0.001302721
1.193246,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.001322826
2.342111,183.36.108.251,192.168.137.233,HTTP,1095,80,55938,Botnet,0.001361058
68.100846,192.168.137.85,59.152.9.237,TCP,78,36674,443,Botnet,0.001372255
96.895262,192.168.137.233,183.36.108.251,TCP,54,56128,80,Botnet,0.001398588
50.746387,192.168.137.87,183.36.108.251,TCP,54,43995,80,Normal,0.001408074
44.214286,183.36.108.251,192.168.137.87,TCP,66,80,33566,Normal,0.001413613
12.54405,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.001413706
121.384477,192.229.237.96,192.168.137.87,TCP,1434,443,44123,Normal,0.001524723
65.473446,192.168.137.85,59.152.9.237,TCP,78,36674,443,Botnet,0.001557251
7.212579,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.001591705
9.434276,158.69.127.66,192.168.137.87,SSLv2,1434,443,36387,Normal,0.001596704
8.852891,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.001605837
6.056633,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.001624304
1.867915,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.001632206
66.189442,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.001683562
8.724722,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.001725935
10.305482,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.001727065
68.305013,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.001741776
65.372206,192.168.137.85,172.217.194.154,TCP,1434,41152,443,Botnet,0.00177012
111.161031,192.168.137.87,172.217.167.132,TCP,66,41484,443,Normal,0.001833252
12.161018,192.168.137.87,158.69.127.66,TCP,78,36387,443,Normal,0.001846374
10.088963,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.001891706
99.512541,183.36.108.251,192.168.137.87,TCP,66,80,44044,Normal,0.001897482
67.361327,59.152.9.237,192.168.137.85,TCP,1434,443,36674,Botnet,0.001949407
59.603784,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.001965494
6.244536,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.002012428
5.548304,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002019361
68.766165,59.152.9.237,192.168.137.85,TLSv1.2,1434,443,36674,Botnet,0.002047232
59.741828,192.168.137.233,172.217.163.202,TCP,66,45039,443,Botnet,0.002075534
65.396871,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.002100516
12.28821,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.002105229
4.278498,192.168.137.87,158.69.127.66,TCP,66,36387,443,Normal,0.002158105
13.567703,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002260725
10.092603,192.168.137.87,183.36.108.251,TCP,54,43960,80,Normal,0.002289645
5.988935,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002321844
7.208525,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.00234036
3.321307,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002342882
121.393476,192.229.237.96,192.168.137.87,TCP,1434,443,44123,Normal,0.002369448
2.252705,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.002411483
4.713315,158.69.127.66,192.168.137.87,TCP,1434,443,36387,Normal,0.002414026
6.423734,192.168.137.87,158.69.127.66,TCP,94,36387,443,Normal,0.00244201
18.438501,192.168.137.233,183.36.108.251,HTTP,989,55953,80,Botnet,0.00244951
114.957112,192.168.137.87,172.217.166.97,TCP,66,55780,443,Normal,0.00252738
67.869239,192.168.137.85,59.152.9.237,TCP,66,36674,443,Botnet,0.002530795
40.336309,192.168.137.233,183.36.108.251,TCP,66,55978,80,Botnet,0.002555377
